country,GDP,biofuel_consumption,solar_consumption,gas_consumption,electricity_demand
Argentina,536481038336,0.000,0.000,322.967,86.470
Australia,691886620672,0.000,0.138,205.551,198.160
Austria,207979118592,0.074,0.000,61.935,48.840
Belgium,273278730240,0.000,0.000,95.699,66.570
Brazil,1734491242496,67.689,0.000,97.045,385.580
Canada,1138677121024,1.548,0.049,892.207,552.590
China,5952682590208,0.000,0.065,246.957,1346.850
Colombia,330667819008,0.000,0.005,57.358,42.250
Finland,134055206912,0.000,0.001,25.210,65.030
France,1636207689728,0.000,0.000,302.754,371.760
Germany,2015547621376,0.000,0.003,636.883,547.750
India,2773211152384,0.000,0.021,253.627,572.740
Indonesia,1138300026880,0.000,0.000,330.052,98.030
Italy,1475485237248,0.000,0.012,454.260,247.800
Mexico,1241194692608,0.908,0.021,359.133,194.990
Netherlands,411390803968,0.000,0.000,368.056,81.010
Poland,310673178624,0.000,0.000,103.946,133.400
Portugal,171225923584,0.000,0.000,0.000,28.370
South Korea,1086261690368,0.000,0.016,198.077,272.520
Spain,756125007872,0.000,0.018,57.794,150.790
Sweden,240234004480,0.000,0.000,6.010,144.210
Thailand,595846889472,0.000,0.000,211.954,92.350
United Kingdom,1505692221440,0.000,0.000,548.738,329.700
United States,12973842104320,37.003,1.533,6283.907,3835.860
World,59866659946496,125.515,3.131,23994.258,14971.900
