country,GDP
China,18151620214784.0
United States,18140645818368.0
India,8835757506560.0
Japan,4867010592768.0
Germany,3885961314304.0
Russia,3613410459648.0
Indonesia,3075456106496.0
Brazil,2965401501696.0
France,2581673803776.0
United Kingdom,2540210225152.0
Italy,2077209133056.0
Mexico,2006599729152.0
South Korea,1958392102912.0
Saudi Arabia,1677338607616.0
Canada,1669401542656.0
Turkey,1655984226304.0
Spain,1492300201984.0
Iran,1398995943424.0
Australia,1238559621120.0
Egypt,1221832605696.0
Pakistan,1212090548224.0
Thailand,1124031922176.0
Nigeria,1060805935104.0
Poland,1053479337984.0
Taiwan,1041749573632.0
Philippines,912443441152.0
Argentina,829373284352.0
Netherlands,818056003584.0
Malaysia,773658509312.0
United Arab Emirates,734906220544.0
Bangladesh,686521778176.0
South Africa,673272168448.0
Vietnam,661488402432.0
Colombia,651900551168.0
Algeria,590317551616.0
Switzerland,531971145728.0
Iraq,513592688640.0
Kazakhstan,463720546304.0
Sweden,463407448064.0
Belgium,454384320512.0
Norway,449338998784.0
Ukraine,431319908352.0
Chile,412833611776.0
Singapore,410139852800.0
Qatar,400649388032.0
Peru,386316107776.0
Romania,386236481536.0
Austria,382269456384.0
Hong Kong,373682634752.0
Uzbekistan,336874766336.0
Czechia,326100320256.0
Myanmar,317599023104.0
Ireland,314321666048.0
Venezuela,309413019648.0
Morocco,299980095488.0
Israel,278806233088.0
Kuwait,277117140992.0
Portugal,276343586816.0
Denmark,268317622272.0
Sri Lanka,253457137664.0
Hungary,250426490880.0
Greece,250035847168.0
Finland,214535733248.0
Ethiopia,195740319744.0
Belarus,178435260416.0
Angola,175929573376.0
Ecuador,175524675584.0
Kenya,173505904640.0
Oman,172358221824.0
New Zealand,171013586944.0
Dominican Republic,165255135232.0
Tanzania,162052505600.0
Azerbaijan,160426229760.0
Slovakia,146456461312.0
Turkmenistan,142391017472.0
Bulgaria,132183449600.0
Tunisia,130322096128.0
Guatemala,127549980672.0
Ghana,118873890816.0
Puerto Rico,115563266048.0
Jordan,104894210048.0
Cote d'Ivoire,102581665792.0
Libya,100416020480.0
Serbia,99972055040.0
Lebanon,96800194560.0
Cuba,92551012352.0
Uganda,86584074240.0
Panama,86035742720.0
Croatia,84978688000.0
Democratic Republic of Congo,81846378496.0
Nepal,81052450816.0
Lithuania,76617523200.0
Cameroon,76168241152.0
Bolivia,75704713216.0
Costa Rica,73336987648.0
Yemen,69042724864.0
Uruguay,68560711680.0
Afghanistan,67594969088.0
Paraguay,66292862976.0
Bahrain,62559305728.0
Zambia,60978622464.0
Slovenia,60439879680.0
Cambodia,59541852160.0
Georgia,58984800256.0
Syria,56710615040.0
El Salvador,54756343808.0
Latvia,46862479360.0
Laos,46666960896.0
Honduras,45382746112.0
Senegal,42805547008.0
Mongolia,41531756544.0
Bosnia and Herzegovina,41286324224.0
North Korea,40517136384.0
Tajikistan,38206550016.0
Gabon,36693262336.0
Madagascar,36665933824.0
Botswana,35844341760.0
Estonia,35409424384.0
Luxembourg,35015057408.0
Trinidad and Tobago,34697351168.0
Albania,34009112576.0
Armenia,33296515072.0
Burkina Faso,31315025920.0
Chad,31212918784.0
Nicaragua,30136879104.0
Kyrgyzstan,29601148928.0
Congo,29513590784.0
Mozambique,29449971712.0
Cyprus,27790155776.0
North Macedonia,27703576576.0
Mali,27521622016.0
Mauritius,27474712576.0
Benin,26682034176.0
Palestine,24034213888.0
Moldova,23299414016.0
Namibia,23095486464.0
Rwanda,22988918784.0
Equatorial Guinea,22750613504.0
Zimbabwe,22715353088.0
Malawi,22574655488.0
Niger,20483442688.0
Jamaica,19431862272.0
Guinea,19045322752.0
Haiti,18653679616.0
Malta,15606394880.0
Iceland,15315260416.0
Mauritania,13278341120.0
Montenegro,11980409856.0
Togo,11866978304.0
Sierra Leone,10628815872.0
Eswatini,8771760128.0
Burundi,7314108928.0
Lesotho,5360395776.0
Gambia,3939021824.0
Liberia,3936415744.0
Cape Verde,3882678784.0
Central African Republic,3581982464.0
Barbados,3516161024.0
Djibouti,2913438464.0
Seychelles,2794612992.0
Guinea-Bissau,2752462080.0
Saint Lucia,1733778304.0
Comoros,1416032128.0
Sao Tome and Principe,762655232.0
Dominica,667810432.0
